n,run_idx,phase1_shots,phase2_shots,fidelity_pure,fidelity_density,elapsed_s,support_size,support_hit,support_indices
2,0,8196,16384,0.9999336018081408,0.9792879449824072,1.5968965549982386,2,1,00 11
2,1,8196,16384,0.9999221111636076,0.9776485762084953,1.3285549109968997,3,0,00 10 11
2,2,8196,16384,0.9998530324890704,0.9873184688557337,1.2826389299989387,2,1,00 11
2,3,8196,16384,0.9997888680207861,0.9833734027277742,1.270272620000469,3,0,00 10 11
2,4,8196,16384,0.9999684165351665,0.977982957862691,1.3204280610007118,3,0,00 10 11
2,5,8196,16384,0.9999471809531743,0.9836297578514095,1.3585484209979768,3,0,00 10 11
2,6,8196,16384,0.99995095933794,0.9782468638745019,1.4939408940008434,2,1,00 11
2,7,8196,16384,0.9999730772710547,0.9797757782639727,1.4810326379993057,2,1,00 11
2,8,8196,16384,0.9998388462416379,0.9797943467550806,1.5420626800005266,2,1,00 11
2,9,8196,16384,0.9999771988031776,0.9814377791683152,1.5502960529993288,2,1,00 11
2,10,8196,16384,0.9999694270061396,0.9811759189871864,1.4714191809980548,2,1,00 11
2,11,8196,16384,0.9999781720719653,0.978747736495216,1.4380928709979344,3,0,00 10 11
2,12,8196,16384,0.9999491653339518,0.9782544190292188,1.4636430790014856,2,1,00 11
2,13,8196,16384,0.999999794223544,0.9787820952079508,1.4506526570003189,2,1,00 11
2,14,8196,16384,0.999827501722699,0.9828360622933761,1.5294112179981312,2,1,00 11
2,15,8196,16384,0.9999493858950718,0.9833601051355934,1.4045065389982483,3,0,00 10 11
2,16,8196,16384,0.9999931251808868,0.9776688078516751,1.442664248002984,2,1,00 11
2,17,8196,16384,0.9999559086138446,0.9849743275644212,1.4398289329983527,3,0,00 10 11
2,18,8196,16384,0.99997950177536,0.9759576275718564,1.4344221080027637,3,0,00 10 11
2,19,8196,16384,0.9999452914154973,0.9820872588385734,1.5314226549999148,2,1,00 11
2,20,8196,16384,0.9999748594031664,0.9767919609505236,1.4727473630009627,3,0,00 10 11
2,21,8196,16384,0.9999672879950675,0.9769692598643189,1.4577445639988582,2,1,00 11
2,22,8196,16384,0.9999478364509244,0.9775916741388425,1.4551836569989973,3,0,00 10 11
2,23,8196,16384,0.9999505096478061,0.978965912772042,1.48529847899772,2,1,00 11
2,24,8196,16384,0.9999184368699404,0.9830984610643131,1.4687702090013772,2,1,00 11
2,25,8196,16384,0.9999231723852248,0.9801263064604671,1.5108007000017096,2,1,00 11
2,26,8196,16384,0.9999122242058462,0.9828788538041427,1.4752298050007084,2,1,00 11
2,27,8196,16384,0.9999740863554291,0.9806611873997657,1.5453444689992466,2,1,00 11
2,28,8196,16384,0.9999530516349441,0.9813851888502674,1.511894545998075,2,1,00 11
2,29,8196,16384,0.9999908321202254,0.9761524588008751,1.540280683999299,2,1,00 11
2,30,8196,16384,0.9999848473159525,0.9800526540062686,1.459610721001809,3,0,00 10 11
2,31,8196,16384,0.9999277363062679,0.9754204392619047,1.3890737030014861,2,1,00 11
2,32,8196,16384,0.9999619194032373,0.9813273975078689,1.4698943389994383,2,1,00 11
2,33,8196,16384,0.9999121088561759,0.9814245110410605,1.4211690190022637,3,0,00 10 11
2,34,8196,16384,0.9999741152189797,0.9791908856269318,1.4643100930006767,3,0,00 10 11
2,35,8196,16384,0.9999642417867612,0.9785985694616955,1.456021158999647,3,0,00 10 11
2,36,8196,16384,0.9999587392639964,0.981973737719052,1.450626704001479,2,1,00 11
2,37,8196,16384,0.999958292776055,0.9824473914553867,1.398030063999613,2,1,00 11
2,38,8196,16384,0.9997534754635836,0.9804092634134001,1.3956812030010042,3,0,00 10 11
2,39,8196,16384,0.9998855102271226,0.9808882597128687,1.4297411510015081,3,0,00 10 11
2,40,8196,16384,0.9998901339248474,0.9823767585805734,1.6328473670000676,3,0,00 10 11
2,41,8196,16384,0.9999694776579026,0.9797595728260317,1.4500139320007293,2,1,00 11
2,42,8196,16384,0.9999497678221886,0.9819510515915684,1.4233553029989707,3,0,00 10 11
2,43,8196,16384,0.9999160875901172,0.982092714623426,1.456054091999249,3,0,00 10 11
2,44,8196,16384,0.9999895519069573,0.9816344849639609,1.4394045269982598,2,1,00 11
2,45,8196,16384,0.9997890135355585,0.9835600745167039,1.5096713459970488,3,0,00 10 11
2,46,8196,16384,0.9999738662417271,0.9788116304116405,1.5262012450002658,2,1,00 11
2,47,8196,16384,0.9999643287603631,0.9812340887724119,1.4808223260006343,2,1,00 11
2,48,8196,16384,0.9999540458150354,0.983258747661306,1.4959601219998149,3,0,00 10 11
2,49,8196,16384,0.9999922447942114,0.9810251170093552,1.5187506830006896,2,1,00 11
2,50,8196,16384,0.9999844715875441,0.9799020177515477,1.5455945640023856,2,1,00 11
2,51,8196,16384,0.9999652961697506,0.9819535084797557,1.4829084560005867,3,0,00 10 11
2,52,8196,16384,0.999971308254506,0.981048905049063,1.4487826760014286,3,0,00 10 11
2,53,8196,16384,0.9999568956794406,0.9807917341317528,1.4422280510007113,2,1,00 11
2,54,8196,16384,0.9998807174851285,0.9825255220114255,1.4462011880023056,2,1,00 11
2,55,8196,16384,0.9999438995817481,0.9805091991099315,1.419228345999727,2,1,00 11
2,56,8196,16384,0.9999814684287591,0.9768751515633025,1.4375716450012987,2,1,00 11
2,57,8196,16384,0.9999929616417064,0.9775835623569368,1.5049197719999938,3,0,00 10 11
2,58,8196,16384,0.9999136506982381,0.9836806827034619,1.4184394420008175,3,0,00 10 11
2,59,8196,16384,0.999975264615849,0.9775455196970324,1.4294433430004574,2,1,00 11
2,60,8196,16384,0.9998832409026202,0.9825431172924911,1.56515466899873,3,0,00 10 11
2,61,8196,16384,0.9999978943077956,0.9784316463200669,1.4920025449973764,3,0,00 10 11
2,62,8196,16384,0.9999801653569296,0.9807224179290612,1.4996247759991093,3,0,00 10 11
2,63,8196,16384,0.9999913481983405,0.9776221983292632,1.4622563260018069,3,0,00 10 11
2,64,8196,16384,0.9999393961663476,0.9821132445230019,1.4499610029997712,3,0,00 10 11
2,65,8196,16384,0.9999977360189813,0.9804262174808309,1.434932945001492,3,0,00 10 11
2,66,8196,16384,0.999982463686586,0.980101873467853,1.5246757099994284,2,1,00 11
2,67,8196,16384,0.9998690296268075,0.983591986690607,1.4898632040021766,3,0,00 10 11
2,68,8196,16384,0.999956511309876,0.9769550298769201,1.5293722869973863,3,0,00 10 11
2,69,8196,16384,0.9999852951949603,0.9787289836404751,1.5167950549985108,3,0,00 10 11
2,70,8196,16384,0.9999225346163251,0.9809107312230914,1.5758433489972958,2,1,00 11
2,71,8196,16384,0.9999388987984957,0.979762969744908,1.481979689997388,3,0,00 10 11
2,72,8196,16384,0.9999762040205737,0.9802531574041295,1.4464836610022758,2,1,00 11
2,73,8196,16384,0.9999805616811687,0.9765236529440907,1.4562735110012,2,1,00 11
2,74,8196,16384,0.9999847426010311,0.9786922280847727,1.4427787919994444,3,0,00 10 11
2,75,8196,16384,0.9999001513260458,0.9800262390884665,1.4740179540021927,3,0,00 10 11
2,76,8196,16384,0.999990980463794,0.9821740761213295,1.4431549649998487,2,1,00 11
2,77,8196,16384,0.9999407604772251,0.9823525760461758,1.4523712000009255,2,1,00 11
2,78,8196,16384,0.9999984591357436,0.9799677040581334,1.4672459159992286,3,0,00 10 11
2,79,8196,16384,0.9999371873920694,0.9800448958150587,1.4896360140010074,3,0,00 10 11
2,80,8196,16384,0.9999166595391555,0.9833321399466481,1.4546483129997796,2,1,00 11
2,81,8196,16384,0.9999043570007293,0.9822185290403624,1.5242133100000501,2,1,00 11
2,82,8196,16384,0.9999631841080374,0.9789674270096407,1.4443020350008737,3,0,00 10 11
2,83,8196,16384,0.9998487098671002,0.9820051161866781,1.475831202002155,3,0,00 10 11
2,84,8196,16384,0.9998949619630322,0.9804225056286876,1.4872201090001909,2,1,00 11
2,85,8196,16384,0.9999882757482068,0.9768756690325087,1.4250451529987913,2,1,00 11
2,86,8196,16384,0.9999634576300869,0.9826762525364262,1.499022554999101,2,1,00 11
2,87,8196,16384,0.9999560943943632,0.9808840287103743,1.4786185970006045,3,0,00 10 11
2,88,8196,16384,0.9999559247801969,0.9777300943079437,1.5420513540011598,3,0,00 10 11
2,89,8196,16384,0.9999537988279761,0.9819048559966891,1.529177394000726,3,0,00 10 11
2,90,8196,16384,0.999990572563663,0.9770530932330791,1.5161635159965954,2,1,00 11
2,91,8196,16384,0.9999659809678174,0.9827071202992657,1.5047192330021062,2,1,00 11
2,92,8196,16384,0.9999695182008453,0.9805990200574181,1.4838289420004003,2,1,00 11
2,93,8196,16384,0.9999431578434995,0.9780764669869115,1.4554406120005297,3,0,00 10 11
2,94,8196,16384,0.9999743628150354,0.9762868486303904,1.4450183410008322,3,0,00 10 11
2,95,8196,16384,0.9999134953599265,0.9799480844511508,1.502493169002264,3,0,00 10 11
2,96,8196,16384,0.9999904632975224,0.9770620720003481,1.4429301879972627,3,0,00 10 11
2,97,8196,16384,0.9999545229469105,0.9798287633373122,1.4658600369984924,2,1,00 11
2,98,8196,16384,0.9999479787233062,0.9758362560878847,1.4698854499984009,2,1,00 11
2,99,8196,16384,0.9999785547557702,0.9797165057804711,1.4640198460001557,3,0,00 10 11
2,100,8196,16384,0.9999187934449231,0.979999458619626,1.5462901770006283,3,0,00 10 11
2,101,8196,16384,0.9998407330816671,0.9834962759711807,1.5468575590020919,3,0,00 10 11
2,102,8196,16384,0.9999654533551215,0.977350096463962,1.4188039820000995,2,1,00 11
2,103,8196,16384,0.9999860581519092,0.9800454081021888,1.4338119130006817,2,1,00 11
2,104,8196,16384,0.9999884693629789,0.9784080996127965,1.4546867380013282,2,1,00 11
2,105,8196,16384,0.9999832404249032,0.9795545334024597,1.5353811620007036,2,1,00 11
2,106,8196,16384,0.9999570729613809,0.9821622950768457,1.474677463000262,2,1,00 11
2,107,8196,16384,0.9998135841322326,0.9857145179056384,1.445469227997819,3,0,00 10 11
2,108,8196,16384,0.9999464222248042,0.9751259784886399,1.4626000940006634,2,1,00 11
2,109,8196,16384,0.9999358300247688,0.9769977366451948,1.5301180869973905,2,1,00 11
2,110,8196,16384,0.9999731389972637,0.9815304066495562,1.5107929280020471,2,1,00 11
2,111,8196,16384,0.9999671932837928,0.9794395991570264,1.5362126619984338,2,1,00 11
2,112,8196,16384,0.9999414015151112,0.9808447761793606,1.446418863000872,3,0,00 10 11
2,113,8196,16384,0.9999811379810389,0.9782175801928857,1.4833755569998175,3,0,00 10 11
2,114,8196,16384,0.9997332230898074,0.9838784949865722,1.5098426080003264,2,1,00 11
2,115,8196,16384,0.9999756013272825,0.981638129278545,1.4856598119986302,3,0,00 10 11
2,116,8196,16384,0.9999693246325941,0.9814031290027281,1.5091190860002826,2,1,00 11
2,117,8196,16384,0.9999774208333477,0.9801822452040353,1.4150509190003504,2,1,00 11
2,118,8196,16384,0.999958113641361,0.98102248532998,1.4515931289970467,2,1,00 11
2,119,8196,16384,0.9999813936087562,0.9789538975222881,1.430549496999447,2,1,00 11
2,120,8196,16384,0.9999276168842112,0.9779347692847918,1.4277257230023679,2,1,00 11
2,121,8196,16384,0.9999764296553267,0.9823970100272754,1.5476369690004503,3,0,00 10 11
2,122,8196,16384,0.9997228430244235,0.9825915235633664,1.5232766369990713,3,0,00 10 11
2,123,8196,16384,0.9999984198802341,0.9789923421227019,1.399138993001543,2,1,00 11
2,124,8196,16384,0.9997665949597239,0.9849478679922312,1.4666505550012516,3,0,00 10 11
2,125,8196,16384,0.999998857578411,0.9794451072778476,1.5339005749992793,3,0,00 10 11
2,126,8196,16384,0.9998904326943067,0.9818365537315248,1.5137719439990178,3,0,00 10 11
