n,run_idx,phase_bits,phase1_shots,phase2_shots,fidelity,elapsed_s,support_size,support_hit,support_indices
2,0,2,16384,8192,0.9999993289708788,2.6375694000016665,2,1,00 11
2,1,2,16384,8192,0.9999443883942041,2.6332059999986086,2,1,00 11
2,2,2,16384,8192,0.9999646416225424,2.266973899997538,2,1,00 11
2,3,2,16384,8192,0.9999904090434486,3.1838251000008313,2,1,00 11
2,4,2,16384,8192,0.9999921468546512,3.217258699995,2,1,00 11
2,5,2,16384,8192,0.9999880945632179,3.0878217999998014,2,1,00 11
2,6,2,16384,8192,0.9999863596384626,3.125601599997026,2,1,00 11
2,7,2,16384,8192,0.9999953064191066,4.116900299995905,2,1,00 11
2,8,2,16384,8192,0.9999557987686795,3.1456034000002546,2,1,00 11
2,9,2,16384,8192,0.9999952379959872,3.0142659999983152,2,1,00 11
2,10,2,16384,8192,0.9999955236889064,3.025520900002448,2,1,00 11
2,11,2,16384,8192,0.9998846133984675,2.9446672000049148,2,1,00 11
2,12,2,16384,8192,0.9999701698133259,4.1135510000021895,2,1,00 11
2,13,2,16384,8192,0.9999660280566509,2.971676799992565,2,1,00 11
2,14,2,16384,8192,0.9999957384005147,2.9883301999943797,2,1,00 11
2,15,2,16384,8192,0.9999760449147874,3.0795821999927284,2,1,00 11
2,16,2,16384,8192,0.9999595732161509,3.0466181999945547,2,1,00 11
2,17,2,16384,8192,0.999976280125158,3.9093245999974897,2,1,00 11
2,18,2,16384,8192,0.9999712092070585,3.050990300005651,2,1,00 11
2,19,2,16384,8192,0.9999748433829208,2.94549410000036,2,1,00 11
2,20,2,16384,8192,0.9999867094460695,2.9840542000019923,2,1,00 11
2,21,2,16384,8192,0.9999959669157005,3.7544273999956204,2,1,00 11
2,22,2,16384,8192,0.9999253767720805,2.97632450000674,2,1,00 11
2,23,2,16384,8192,0.9999834945305854,3.0422561000013957,2,1,00 11
2,24,2,16384,8192,0.9999951544642497,3.0895143000088865,2,1,00 11
2,25,2,16384,8192,0.9999721058669687,3.0699601999949664,2,1,00 11
2,26,2,16384,8192,0.9999822968849853,3.9709895999985747,2,1,00 11
2,27,2,16384,8192,0.9999407626928055,3.0448944000090705,2,1,00 11
2,28,2,16384,8192,0.9999819036593897,2.9794269999983953,2,1,00 11
2,29,2,16384,8192,0.9999901639642611,3.0717169999988982,2,1,00 11
2,30,2,16384,8192,0.9999895826739351,3.0237908999988576,2,1,00 11
2,31,2,16384,8192,0.9999921101134417,3.819697900005849,2,1,00 11
2,32,2,16384,8192,0.9999168051674953,3.1735713000089163,2,1,00 11
2,33,2,16384,8192,0.999998869984167,3.03942499999539,2,1,00 11
2,34,2,16384,8192,0.9999969470783068,3.136603799997829,2,1,00 11
2,35,2,16384,8192,0.9999700520737554,3.8835793000034755,2,1,00 11
2,36,2,16384,8192,0.9999994145269337,3.0592194000055315,2,1,00 11
2,37,2,16384,8192,0.9999972787084754,3.114440500008641,2,1,00 11
2,38,2,16384,8192,0.9999878795303383,3.254051600000821,2,1,00 11
2,39,2,16384,8192,0.9999978039625806,3.1292339000065112,2,1,00 11
2,40,2,16384,8192,0.9999964889779823,3.955717899996671,2,1,00 11
2,41,2,16384,8192,0.9999783077898299,3.1399468000017805,2,1,00 11
2,42,2,16384,8192,0.9999984778544241,3.1266937000036705,2,1,00 11
2,43,2,16384,8192,0.9999914492585601,3.151612700006808,2,1,00 11
2,44,2,16384,8192,0.9999637289258799,4.014290600011009,2,1,00 11
2,45,2,16384,8192,0.9999971990893426,3.229076499992516,2,1,00 11
2,46,2,16384,8192,0.9999772210715017,3.131099999998696,2,1,00 11
2,47,2,16384,8192,0.9999867918999785,3.1301078000105917,2,1,00 11
2,48,2,16384,8192,0.9999617257623252,3.112486699988949,2,1,00 11
2,49,2,16384,8192,0.9999892791259087,4.068144699995173,2,1,00 11
2,50,2,16384,8192,0.999962840745604,3.123306399997091,2,1,00 11
2,51,2,16384,8192,0.9999424831624386,3.2032634999923175,2,1,00 11
2,52,2,16384,8192,0.9999988975904127,3.1407175999920582,2,1,00 11
2,53,2,16384,8192,0.9998612938306287,4.014633500002674,2,1,00 11
2,54,2,16384,8192,0.9999900607455898,3.1602077999996254,2,1,00 11
2,55,2,16384,8192,0.9999696108047702,3.1433067999896593,2,1,00 11
2,56,2,16384,8192,0.9999750690754423,3.145429799988051,2,1,00 11
2,57,2,16384,8192,0.9999665086444188,3.166148400006932,2,1,00 11
2,58,2,16384,8192,0.9999561671595005,3.9739411000045948,2,1,00 11
2,59,2,16384,8192,0.9999930469804095,3.0730390999960946,2,1,00 11
2,60,2,16384,8192,0.9999894353215373,3.160973699996248,2,1,00 11
2,61,2,16384,8192,0.9999519254522877,3.169307000003755,2,1,00 11
2,62,2,16384,8192,0.999976101033245,4.055315699995845,2,1,00 11
2,63,2,16384,8192,0.9999656400468274,3.168611300003249,2,1,00 11
2,64,2,16384,8192,0.9999860273597354,3.161604399996577,2,1,00 11
2,65,2,16384,8192,0.9999914646682407,3.1408124000008684,2,1,00 11
2,66,2,16384,8192,0.9999747082434378,3.068860200000927,2,1,00 11
2,67,2,16384,8192,0.9999325631614134,3.9364292999962345,2,1,00 11
2,68,2,16384,8192,0.9999946727754593,3.0852267000009306,2,1,00 11
2,69,2,16384,8192,0.9999048405186337,3.1287994000012986,2,1,00 11
2,70,2,16384,8192,0.9999930058395362,3.1794436999916798,2,1,00 11
2,71,2,16384,8192,0.9999399545859334,3.8779529000021284,2,1,00 11
2,72,2,16384,8192,0.9999982040393726,3.239096100005554,2,1,00 11
2,73,2,16384,8192,0.9999840088699565,3.1135465999977896,2,1,00 11
2,74,2,16384,8192,0.9999796810775892,3.1399906000006013,2,1,00 11
2,75,2,16384,8192,0.9999627687676943,3.1671822000062093,2,1,00 11
2,76,2,16384,8192,0.9999982880455092,3.962519799999427,2,1,00 11
2,77,2,16384,8192,0.9999949672642351,3.089799800000037,2,1,00 11
2,78,2,16384,8192,0.9999610737329461,3.128084600000875,2,1,00 11
2,79,2,16384,8192,0.9999912158189082,3.198630700004287,2,1,00 11
2,80,2,16384,8192,0.9999908389580503,3.577345099998638,2,1,00 11
2,81,2,16384,8192,0.9999670835604221,3.5145143999980064,2,1,00 11
2,82,2,16384,8192,0.9999649454372848,3.088846200000262,2,1,00 11
2,83,2,16384,8192,0.9999844382561462,3.127099299992551,2,1,00 11
2,84,2,16384,8192,0.999991304283965,3.07904039999994,2,1,00 11
2,85,2,16384,8192,0.9999926808597371,4.014800699995249,2,1,00 11
2,86,2,16384,8192,0.9999351641623124,3.09336150001036,2,1,00 11
2,87,2,16384,8192,0.9999761288080568,2.9637608000048203,2,1,00 11
2,88,2,16384,8192,0.9999855266622019,2.169146800006274,2,1,00 11
2,89,2,16384,8192,0.999874740103293,2.140480200003367,2,1,00 11
2,90,2,16384,8192,0.9999815066639859,2.5709739000012632,2,1,00 11
2,91,2,16384,8192,0.9999732602439116,2.1843787000107113,2,1,00 11
2,92,2,16384,8192,0.9999110187521443,2.148867900003097,2,1,00 11
2,93,2,16384,8192,0.9999831604700746,2.1447372999973595,2,1,00 11
2,94,2,16384,8192,0.99997153800335,2.172077499999432,2,1,00 11
2,95,2,16384,8192,0.9999910432313993,2.1847586999938358,2,1,00 11
2,96,2,16384,8192,0.99999894376897,2.167637400008971,2,1,00 11
2,97,2,16384,8192,0.9999808623756526,2.190502400000696,2,1,00 11
2,98,2,16384,8192,0.9999884702209064,2.163750899999286,2,1,00 11
2,99,2,16384,8192,0.999992927865732,2.1760644000023603,2,1,00 11
2,100,2,16384,8192,0.9999854048908126,2.17013319999387,2,1,00 11
2,101,2,16384,8192,0.9999940853422656,2.201577100000577,2,1,00 11
2,102,2,16384,8192,0.9998733535692556,2.1937590000015916,2,1,00 11
2,103,2,16384,8192,0.9999833077270391,2.226678400009405,2,1,00 11
2,104,2,16384,8192,0.9999672026782844,2.2049033000075724,2,1,00 11
2,105,2,16384,8192,0.9999523019828669,2.192882200004533,2,1,00 11
2,106,2,16384,8192,0.9999487936255781,2.18351740000071,2,1,00 11
2,107,2,16384,8192,0.999895516957194,2.1751301999902353,2,1,00 11
2,108,2,16384,8192,0.9999992005925337,2.1592178999999305,2,1,00 11
2,109,2,16384,8192,0.999984195837498,2.1720023000088986,2,1,00 11
2,110,2,16384,8192,0.9999987342352519,2.196466800000053,2,1,00 11
2,111,2,16384,8192,0.9999967932963437,2.1970893000107026,2,1,00 11
2,112,2,16384,8192,0.9999876146232952,2.3939428000012413,2,1,00 11
2,113,2,16384,8192,0.9999759367010818,2.1738524999964284,2,1,00 11
2,114,2,16384,8192,0.9999978189247662,2.185672000006889,2,1,00 11
2,115,2,16384,8192,0.9999556862902905,2.17625560000306,2,1,00 11
2,116,2,16384,8192,0.9999896152913439,2.220031499993638,2,1,00 11
2,117,2,16384,8192,0.9999894259639661,2.2164444999943953,2,1,00 11
2,118,2,16384,8192,0.9999991888167159,2.2101497999974526,2,1,00 11
2,119,2,16384,8192,0.9999963305527984,2.2616763999976683,2,1,00 11
2,120,2,16384,8192,0.9999991146979245,2.138999100003275,2,1,00 11
2,121,2,16384,8192,0.9999900251361105,2.2128340000053868,2,1,00 11
2,122,2,16384,8192,0.9999978215890681,2.174180300004082,2,1,00 11
2,123,2,16384,8192,0.9999803557945031,2.1944088000018382,2,1,00 11
2,124,2,16384,8192,0.9999999817184165,2.1930961000034586,2,1,00 11
2,125,2,16384,8192,0.9999856397938859,2.1921849999926053,2,1,00 11
2,126,2,16384,8192,0.9999882957576096,2.135222700002487,2,1,00 11
2,127,2,16384,8192,0.9999724114877301,2.162437500010128,2,1,00 11
3,0,3,16384,8192,0.999973822981841,3.8770470000017667,2,1,000 111
3,1,3,16384,8192,0.9999972982260351,3.792916000005789,2,1,000 111
3,2,3,16384,8192,0.9999668916143994,3.8155993999971543,2,1,000 111
3,3,3,16384,8192,0.9999980230033326,3.786591199997929,2,1,000 111
3,4,3,16384,8192,0.9999979425345522,3.7821973000100115,2,1,000 111
3,5,3,16384,8192,0.9999958892019749,3.8088540000026114,2,1,000 111
3,6,3,16384,8192,0.9999992301841365,3.7818510999932187,2,1,000 111
3,7,3,16384,8192,0.9999881516657481,3.7802322000061395,2,1,000 111
3,8,3,16384,8192,0.9999918491397441,3.8381127000029664,2,1,000 111
3,9,3,16384,8192,0.9999650727067011,3.8541663000069093,2,1,000 111
3,10,3,16384,8192,0.9999965305861774,3.8063001000118675,2,1,000 111
3,11,3,16384,8192,0.999994229815371,3.8348272000002908,2,1,000 111
3,12,3,16384,8192,0.9999998603094833,3.7816225999995368,2,1,000 111
3,13,3,16384,8192,0.9999952954547783,3.7795328000065638,2,1,000 111
3,14,3,16384,8192,0.9999852868801447,3.8229839999985415,2,1,000 111
3,15,3,16384,8192,0.9999855755333352,3.809483699995326,2,1,000 111
3,16,3,16384,8192,0.9999906350642849,3.8009645999991335,2,1,000 111
3,17,3,16384,8192,0.9999871066785463,3.8697714999871096,2,1,000 111
3,18,3,16384,8192,0.9999896926898899,3.8451624999870546,2,1,000 111
3,19,3,16384,8192,0.9999821946888132,3.7638893999974243,2,1,000 111
3,20,3,16384,8192,0.9999894641519671,3.779776800001855,2,1,000 111
3,21,3,16384,8192,0.999979965573243,3.8325406000076327,2,1,000 111
3,22,3,16384,8192,0.999917912095505,3.783127099988633,2,1,000 111
3,23,3,16384,8192,0.9999976627711954,3.8239392999967095,2,1,000 111
3,24,3,16384,8192,0.9999431283053594,3.8701546999946004,2,1,000 111
3,25,3,16384,8192,0.9999862307804434,3.8120983999979217,2,1,000 111
3,26,3,16384,8192,0.9999923796271201,3.775704699990456,2,1,000 111
3,27,3,16384,8192,0.999998269889069,3.82578930001182,2,1,000 111
3,28,3,16384,8192,0.9999951506060009,3.8010585000010906,2,1,000 111
3,29,3,16384,8192,0.9999974270707416,3.81960989999061,2,1,000 111
3,30,3,16384,8192,0.9999995999495879,3.8132792999967933,2,1,000 111
3,31,3,16384,8192,0.9999187071933437,3.788160100011737,2,1,000 111
3,32,3,16384,8192,0.9999718383344182,3.8572615000011865,2,1,000 111
3,33,3,16384,8192,0.9999510112979443,3.8635301000031177,2,1,000 111
3,34,3,16384,8192,0.9999939507860802,3.8039137000014307,2,1,000 111
3,35,3,16384,8192,0.9999970359447322,3.804094899998745,2,1,000 111
3,36,3,16384,8192,0.9999701980485329,3.75018380000256,2,1,000 111
3,37,3,16384,8192,0.9999974495356878,3.8233020000043325,2,1,000 111
3,38,3,16384,8192,0.9999985841307899,3.812333599998965,2,1,000 111
3,39,3,16384,8192,0.9999791353393702,3.788438000003225,2,1,000 111
3,40,3,16384,8192,0.9999956847339988,3.7812326999992365,2,1,000 111
3,41,3,16384,8192,0.9999882179304003,3.8161965000035707,2,1,000 111
3,42,3,16384,8192,0.9999964240761974,3.8683192000025883,2,1,000 111
3,43,3,16384,8192,0.9999920928011043,3.8017825999995694,2,1,000 111
3,44,3,16384,8192,0.9999971879495484,3.8340559000062058,2,1,000 111
3,45,3,16384,8192,0.99997886792525,3.8785437000042293,2,1,000 111
3,46,3,16384,8192,0.9999930807007834,3.925784000006388,2,1,000 111
3,47,3,16384,8192,0.9999942846333494,3.7985563999973238,2,1,000 111
3,48,3,16384,8192,0.9999907951164664,3.831714200001443,2,1,000 111
3,49,3,16384,8192,0.9999894827104863,3.854332600007183,2,1,000 111
3,50,3,16384,8192,0.999995068138762,3.7763443000003463,2,1,000 111
3,51,3,16384,8192,0.999991992794119,3.801751000006334,2,1,000 111
3,52,3,16384,8192,0.9999850150243903,3.772174500001711,2,1,000 111
3,53,3,16384,8192,0.9999667675369114,3.779444700005115,2,1,000 111
3,54,3,16384,8192,0.9999897119220416,3.7754578000021866,2,1,000 111
3,55,3,16384,8192,0.9999976159639898,3.8052877000009175,2,1,000 111
3,56,3,16384,8192,0.9999973426426093,3.8050674999976764,2,1,000 111
3,57,3,16384,8192,0.9999986059423072,3.839189799997257,2,1,000 111
3,58,3,16384,8192,0.9999982729871104,3.83443589998933,2,1,000 111
3,59,3,16384,8192,0.9999671954418713,3.8455014000064693,2,1,000 111
3,60,3,16384,8192,0.9999979955381747,3.8573159000079613,2,1,000 111
3,61,3,16384,8192,0.9999738271507752,3.8412837000068976,2,1,000 111
3,62,3,16384,8192,0.9999994446330863,3.9159087000007275,2,1,000 111
3,63,3,16384,8192,0.999998674526084,3.9635871999926167,2,1,000 111
3,64,3,16384,8192,0.9999483201172984,3.804303599987179,2,1,000 111
3,65,3,16384,8192,0.9999986037275086,3.8078725000086706,2,1,000 111
3,66,3,16384,8192,0.9999968619394177,3.8660029000020586,2,1,000 111
3,67,3,16384,8192,0.9999436473513759,3.825345599994762,2,1,000 111
3,68,3,16384,8192,0.9998911250630872,3.779228100000182,2,1,000 111
3,69,3,16384,8192,0.9999663899209332,3.7906102999986615,2,1,000 111
3,70,3,16384,8192,0.9999960224295299,3.786970300003304,2,1,000 111
3,71,3,16384,8192,0.9999909534879502,3.8209550000028685,2,1,000 111
3,72,3,16384,8192,0.9999839196406095,3.8972417000040878,2,1,000 111
3,73,3,16384,8192,0.9999921012792066,3.794629399999394,2,1,000 111
3,74,3,16384,8192,0.9999843605684198,3.78559219998715,2,1,000 111
3,75,3,16384,8192,0.9998921097001489,3.76441600000544,2,1,000 111
3,76,3,16384,8192,0.999984682069371,3.782809099997394,2,1,000 111
3,77,3,16384,8192,0.9999855175542499,3.8024300999968546,2,1,000 111
3,78,3,16384,8192,0.9999986296748382,3.834016699998756,2,1,000 111
3,79,3,16384,8192,0.9999774481740489,3.8289281000033952,2,1,000 111
3,80,3,16384,8192,0.9998840914463843,3.802352200000314,2,1,000 111
3,81,3,16384,8192,0.9999821426456139,3.840447300011874,2,1,000 111
3,82,3,16384,8192,0.9999824642016046,3.8005964000039967,2,1,000 111
3,83,3,16384,8192,0.9999865747180267,3.7691348000080325,2,1,000 111
3,84,3,16384,8192,0.9999870913128618,3.815066100010881,2,1,000 111
3,85,3,16384,8192,0.999987576954852,3.7657443999924,2,1,000 111
3,86,3,16384,8192,0.9999833981616794,3.7827000000106636,2,1,000 111
3,87,3,16384,8192,0.9999968523811715,3.752764999997453,2,1,000 111
3,88,3,16384,8192,0.9999991458086522,3.8363212999975076,2,1,000 111
3,89,3,16384,8192,0.9999957181247237,3.75750710000284,2,1,000 111
3,90,3,16384,8192,0.9999888433274204,3.8172523000102956,2,1,000 111
3,91,3,16384,8192,0.9999868760429756,3.774863300001016,2,1,000 111
3,92,3,16384,8192,0.999987383617212,3.8345935999968788,2,1,000 111
