n,run_idx,phase_bits,phase1_shots,phase2_shots,fidelity,elapsed_s,support_size,support_hit,support_indices
5,31,5,16384,8192,0.9999932809367553,7.523472299988498,2,1,00000 11111
5,32,5,16384,8192,0.9998409895793356,7.631042100008926,2,1,00000 11111
5,33,5,16384,8192,0.9999890333880774,7.568164199998137,2,1,00000 11111
5,34,5,16384,8192,0.9999928741546487,7.543690499995137,2,1,00000 11111
5,35,5,16384,8192,0.9999987903940878,7.470138999997289,2,1,00000 11111
5,36,5,16384,8192,0.9999998467311236,7.570015899997088,2,1,00000 11111
5,37,5,16384,8192,0.999942850246302,7.573722000000998,2,1,00000 11111
5,38,5,16384,8192,0.9999431572957979,7.560689899997669,2,1,00000 11111
5,39,5,16384,8192,0.9999825651680186,7.511678300012136,2,1,00000 11111
5,40,5,16384,8192,0.9999373720168129,7.565820399991935,2,1,00000 11111
5,41,5,16384,8192,0.9998362321883735,7.59495899999456,2,1,00000 11111
5,42,5,16384,8192,0.9999068933058701,7.524276600001031,2,1,00000 11111
5,43,5,16384,8192,0.999965258772919,7.4966382999991765,2,1,00000 11111
5,44,5,16384,8192,0.9999984537509323,7.54125280000153,2,1,00000 11111
5,45,5,16384,8192,0.9999269929675764,7.5763869999937015,2,1,00000 11111
5,46,5,16384,8192,0.999882865325404,8.029464199993527,2,1,00000 11111
5,47,5,16384,8192,0.9999821101559278,7.533662199988612,2,1,00000 11111
5,48,5,16384,8192,0.9999916602189662,7.535432500008028,2,1,00000 11111
5,49,5,16384,8192,0.9999816890953147,7.518263400008436,2,1,00000 11111
5,50,5,16384,8192,0.9999878986528828,7.536288400006015,2,1,00000 11111
5,51,5,16384,8192,0.9999783601723197,7.527844199998071,2,1,00000 11111
5,52,5,16384,8192,0.9999300587262915,7.595918499995605,2,1,00000 11111
5,53,5,16384,8192,0.9999808048681774,7.466791800005012,2,1,00000 11111
5,54,5,16384,8192,0.9999995223593523,7.4713328999932855,2,1,00000 11111
5,55,5,16384,8192,0.9999947540246319,7.559184300000197,2,1,00000 11111
5,56,5,16384,8192,0.9998989943918039,7.653609399989364,2,1,00000 11111
5,57,5,16384,8192,0.9999948311827155,7.475994200009154,2,1,00000 11111
5,58,5,16384,8192,0.9999974179927706,7.550270299994736,2,1,00000 11111
5,59,5,16384,8192,0.9999693494547727,7.526409400001285,2,1,00000 11111
5,60,5,16384,8192,0.999995920686505,7.584318000008352,2,1,00000 11111
5,61,5,16384,8192,0.9999958007123828,7.562835699995048,2,1,00000 11111
5,62,5,16384,8192,0.9999948630228963,7.49244999999064,2,1,00000 11111
5,63,5,16384,8192,0.9999741072975503,7.53827679999813,2,1,00000 11111
5,64,5,16384,8192,0.9999873476531015,7.602784999995492,2,1,00000 11111
5,65,5,16384,8192,0.99999104346052,7.542725599996629,2,1,00000 11111
5,66,5,16384,8192,0.9999769387088216,7.451871799989021,2,1,00000 11111
5,67,5,16384,8192,0.9999556614810977,7.516162899992196,2,1,00000 11111
5,68,5,16384,8192,0.9999167682685055,7.5923145999986446,2,1,00000 11111
5,69,5,16384,8192,0.9999712449051341,7.556122000009054,2,1,00000 11111
5,70,5,16384,8192,0.9999317090078628,7.4474184999999125,2,1,00000 11111
5,71,5,16384,8192,0.9998798563377238,7.551623799998197,2,1,00000 11111
5,72,5,16384,8192,0.9999706061473752,7.688202400007867,2,1,00000 11111
5,73,5,16384,8192,0.9999960308860979,7.553430200001458,2,1,00000 11111
5,74,5,16384,8192,0.9999957265096413,7.47871579999628,2,1,00000 11111
5,75,5,16384,8192,0.9999472237340007,7.496594399999594,2,1,00000 11111
5,76,5,16384,8192,0.9999723911416787,7.645567600004142,2,1,00000 11111
5,77,5,16384,8192,0.9999981699547306,7.530112399996142,2,1,00000 11111
5,78,5,16384,8192,0.9999765484639699,7.5206706000026315,2,1,00000 11111
5,79,5,16384,8192,0.9999840394797894,7.5745425000059186,2,1,00000 11111
5,80,5,16384,8192,0.999999154263968,7.578690099995583,2,1,00000 11111
5,81,5,16384,8192,0.9999747734752623,7.5295745999901555,2,1,00000 11111
5,82,5,16384,8192,0.999995048051961,7.468088900001021,2,1,00000 11111
5,83,5,16384,8192,0.9999565245939241,7.532451999999466,2,1,00000 11111
5,84,5,16384,8192,0.9999957679939055,7.694381499997689,2,1,00000 11111
5,85,5,16384,8192,0.999992836641236,7.4814751999947475,2,1,00000 11111
5,86,5,16384,8192,0.9999162735647701,7.571533099995577,2,1,00000 11111
5,87,5,16384,8192,0.999838933824835,7.540179100004025,2,1,00000 11111
5,88,5,16384,8192,0.9999244547221103,7.615108800004236,2,1,00000 11111
5,89,5,16384,8192,0.999900475147622,7.520251400012057,2,1,00000 11111
5,90,5,16384,8192,0.9999787483756469,7.627063200008706,2,1,00000 11111
5,91,5,16384,8192,0.9997962875815076,7.52312329999404,2,1,00000 11111
5,92,5,16384,8192,0.9999997340307473,7.667726300001959,2,1,00000 11111
5,93,5,16384,8192,0.999993357533208,7.536150100000668,2,1,00000 11111
5,94,5,16384,8192,0.999958241181879,7.449272700003348,2,1,00000 11111
5,95,5,16384,8192,0.9999680155095559,7.544623599998886,2,1,00000 11111
5,96,5,16384,8192,0.9999712308275194,7.725340000004508,2,1,00000 11111
5,97,5,16384,8192,0.9999642456122665,7.516737700003432,2,1,00000 11111
5,98,5,16384,8192,0.9999966299273247,7.496843299988541,2,1,00000 11111
5,99,5,16384,8192,0.9999266721372273,7.595759199990425,2,1,00000 11111
5,100,5,16384,8192,0.9999287571919169,7.75875019999512,2,1,00000 11111
5,101,5,16384,8192,0.9999371984744742,7.474994999996852,2,1,00000 11111
5,102,5,16384,8192,0.9999642629318938,7.59603079999215,2,1,00000 11111
5,103,5,16384,8192,0.9999813141568848,7.501750199997332,2,1,00000 11111
