n,run_idx,phase1_shots,phase2_shots,fidelity,elapsed_s,support_size,support_hit,support_indices
3,0,8196,16384,0.9999980390638498,0.5385718060006184,2,1,000 111
3,1,8196,16384,0.9999779924255767,0.20239061000029324,3,0,000 100 111
3,2,8196,16384,0.9999823149484186,0.22416422899914323,2,1,000 111
3,3,8196,16384,0.9999382037256596,0.19758870599980582,2,1,000 111
3,4,8196,16384,0.999983948878601,0.20787580700016406,2,1,000 111
3,5,8196,16384,0.9999507922357466,0.18961860299896216,3,0,000 100 111
3,6,8196,16384,0.9999916313080489,0.204336250999404,3,0,000 100 111
3,7,8196,16384,0.9999705476622227,0.20703591500023322,3,0,000 100 111
3,8,8196,16384,0.99996534999008,0.19532689900006517,2,1,000 111
3,9,8196,16384,0.9999989905919917,0.20541219500046282,2,1,000 111
3,10,8196,16384,0.9999798979378846,0.20217000199954782,3,0,000 100 111
3,11,8196,16384,0.9999731509249993,0.19633068799885223,3,0,000 100 111
3,12,8196,16384,0.9999647005877271,0.18824636799945438,3,0,000 100 111
3,13,8196,16384,0.9999858468570624,0.19758570399972086,3,0,000 100 111
3,14,8196,16384,0.999999691446932,0.23225185999945097,2,1,000 111
3,15,8196,16384,0.9999718125657177,0.20990387399979227,3,0,000 100 111
3,16,8196,16384,0.9999866916974435,0.2228402750006353,2,1,000 111
3,17,8196,16384,0.9999998852194492,0.22964663399943674,3,0,000 100 111
3,18,8196,16384,0.9999788379996387,0.20721039599993674,2,1,000 111
3,19,8196,16384,0.9999574401202468,0.20588113600024371,3,0,000 100 111
3,20,8196,16384,0.9999822376805493,0.2294193970010383,3,0,000 100 111
3,21,8196,16384,0.9999991631920445,0.25990760599961504,3,0,000 100 111
3,22,8196,16384,0.9999961337648205,0.22431824000159395,3,0,000 100 111
3,23,8196,16384,0.9999785957723789,0.21982534600101644,2,1,000 111
3,24,8196,16384,0.999977271153593,0.20448052800020378,3,0,000 100 111
3,25,8196,16384,0.999978875732634,0.20759771099983482,3,0,000 100 111
3,26,8196,16384,0.9999502509588168,0.20671424300053332,3,0,000 100 111
3,27,8196,16384,0.9999821371800109,0.22593967500142753,2,1,000 111
3,28,8196,16384,0.9999873659150992,0.2212350570007402,3,0,000 100 111
3,29,8196,16384,0.9999799936576843,0.213314499000262,2,1,000 111
3,30,8196,16384,0.9999965363146269,0.2179092110000056,3,0,000 100 111
3,31,8196,16384,0.9999689742449578,0.22152345100039383,2,1,000 111
3,32,8196,16384,0.9999828013161423,0.21854497399908723,2,1,000 111
3,33,8196,16384,0.9999640452808072,0.22544112400100857,2,1,000 111
3,34,8196,16384,0.9999574958041492,0.21943702899989148,3,0,000 100 111
3,35,8196,16384,0.9999453536331502,0.22708502800014685,3,0,000 100 111
3,36,8196,16384,0.9999322352705021,0.2352299780013709,2,1,000 111
3,37,8196,16384,0.9999885917808062,0.22435633900022367,3,0,000 100 111
3,38,8196,16384,0.9999988999976618,0.22466308500042942,2,1,000 111
3,39,8196,16384,0.9999782136344185,0.21723483599998872,2,1,000 111
3,40,8196,16384,0.9999407549398744,0.22577497400016,3,0,000 100 111
3,41,8196,16384,0.9999874066202392,0.2871641389992874,3,0,000 100 111
3,42,8196,16384,0.9999549599756702,0.31656035000014526,3,0,000 100 111
3,43,8196,16384,0.9999793073614354,0.2584316859993123,2,1,000 111
3,44,8196,16384,0.9999753956422012,0.25952992499878746,2,1,000 111
3,45,8196,16384,0.999990892318234,0.25737297399973613,2,1,000 111
3,46,8196,16384,0.9999970770941262,0.2305655169984675,3,0,000 100 111
3,47,8196,16384,0.9999432886931683,0.225975159999507,3,0,000 100 111
3,48,8196,16384,0.9999887849206472,0.2512622900012502,3,0,000 100 111
3,49,8196,16384,0.9999735177784317,0.2576396409986046,3,0,000 100 111
3,50,8196,16384,0.9999017332637056,0.25016795999908936,2,1,000 111
3,51,8196,16384,0.9999900223679888,0.24293548599962378,3,0,000 100 111
3,52,8196,16384,0.999956369416908,0.24868730700109154,3,0,000 100 111
3,53,8196,16384,0.9999773761450008,0.2417745359998662,3,0,000 100 111
3,54,8196,16384,0.9999946679323387,0.25609830699977465,2,1,000 111
3,55,8196,16384,0.9999631672283836,0.23301097600051435,3,0,000 100 111
3,56,8196,16384,0.9999874691789364,0.21027000300091458,3,0,000 100 111
3,57,8196,16384,0.9999869154649534,0.22906507500010775,3,0,000 100 111
3,58,8196,16384,0.9999991262843967,0.2153177300006064,3,0,000 100 111
3,59,8196,16384,0.999992315767764,0.22401455100043677,3,0,000 100 111
3,60,8196,16384,0.9999749940030103,0.19853285099998175,3,0,000 100 111
3,61,8196,16384,0.9999810640155306,0.21293147199867235,3,0,000 100 111
3,62,8196,16384,0.9999942560394341,0.2888600080004835,2,1,000 111
3,63,8196,16384,0.9999993856755809,0.22844068099948345,3,0,000 100 111
3,64,8196,16384,0.9999529464877577,0.22289224800078955,2,1,000 111
3,65,8196,16384,0.9999733870355405,0.23900323300040327,3,0,000 100 111
3,66,8196,16384,0.9999522107252204,0.23799982099990302,2,1,000 111
3,67,8196,16384,0.9999994902370469,0.2555539949989907,3,0,000 100 111
3,68,8196,16384,0.9999945372920395,0.25738567099870124,2,1,000 111
3,69,8196,16384,0.9999778917660288,0.24763511899982404,3,0,000 100 111
3,70,8196,16384,0.9999728555196628,0.2610132870013331,3,0,000 100 111
3,71,8196,16384,0.9999359262282219,0.25814760600042064,3,0,000 100 111
3,72,8196,16384,0.9999486478150232,0.25830355400103144,3,0,000 100 111
3,73,8196,16384,0.999965843252085,0.23304455800098367,3,0,000 100 111
3,74,8196,16384,0.999972881385733,0.2564425759992446,3,0,000 100 111
3,75,8196,16384,0.9999974985050916,0.24152137499913806,2,1,000 111
3,76,8196,16384,0.9999721220118566,0.2554407520001405,3,0,000 100 111
3,77,8196,16384,0.9999724361061526,0.23202443799891626,2,1,000 111
3,78,8196,16384,0.9999881928982652,0.23178001400083303,2,1,000 111
3,79,8196,16384,0.9999605794042057,0.22706085899881145,2,1,000 111
3,80,8196,16384,0.9999792133891824,0.23518250100096338,3,0,000 100 111
3,81,8196,16384,0.9999948667688477,0.2361952929986728,3,0,000 100 111
3,82,8196,16384,0.999938091694308,0.303364358998806,3,0,000 100 111
3,83,8196,16384,0.9999558725858011,0.2892833809983131,3,0,000 100 111
3,84,8196,16384,0.9999568850493264,0.2551852409997082,2,1,000 111
3,85,8196,16384,0.9999937550369721,0.2624316319997888,3,0,000 100 111
3,86,8196,16384,0.9999856933690962,0.2565226080005232,2,1,000 111
3,87,8196,16384,0.9999962179684377,0.2463001850010187,3,0,000 100 111
3,88,8196,16384,0.9999982768166917,0.22061003599992546,3,0,000 100 111
3,89,8196,16384,0.9999609816208331,0.2197430539999914,2,1,000 111
3,90,8196,16384,0.9999644701351842,0.23283569200066268,3,0,000 100 111
3,91,8196,16384,0.9999587155186065,0.21681601000091177,2,1,000 111
3,92,8196,16384,0.9999806660724789,0.20506109800044214,3,0,000 100 111
3,93,8196,16384,0.9999879237945858,0.22661008899922308,3,0,000 100 111
3,94,8196,16384,0.9999695253460822,0.23212712599888619,3,0,000 100 111
3,95,8196,16384,0.9999986606451617,0.2149088149999443,3,0,000 100 111
3,96,8196,16384,0.9999794319813741,0.2569272099990485,3,0,000 100 111
3,97,8196,16384,0.9999885458753036,0.27076920499894186,2,1,000 111
3,98,8196,16384,0.9999881513199392,0.2384358940016682,2,1,000 111
3,99,8196,16384,0.9999784286037199,0.2568722340001841,3,0,000 100 111
3,100,8196,16384,0.9999968119280495,0.2757013320006081,3,0,000 100 111
3,101,8196,16384,0.9999955821247455,0.2677865629993903,2,1,000 111
3,102,8196,16384,0.9999982780224165,0.31889366199902724,3,0,000 100 111
3,103,8196,16384,0.999992885539899,0.28428949500084855,2,1,000 111
3,104,8196,16384,0.9999090016034615,0.2689728750010545,3,0,000 100 111
3,105,8196,16384,0.9999740808601977,0.22653136299959442,2,1,000 111
3,106,8196,16384,0.9999364972623169,0.23853844699988258,3,0,000 100 111
3,107,8196,16384,0.9999973839420903,0.23012583700074174,3,0,000 100 111
3,108,8196,16384,0.9999773286434067,0.2403237350008567,3,0,000 100 111
3,109,8196,16384,0.9999184225232539,0.2386083609999332,2,1,000 111
3,110,8196,16384,0.999985059216439,0.23913178799921297,3,0,000 100 111
3,111,8196,16384,0.9999989112234174,0.2516694850000931,3,0,000 100 111
3,112,8196,16384,0.9999923012393596,0.24882951300060085,2,1,000 111
3,113,8196,16384,0.9999872418257196,0.2502235259998997,3,0,000 100 111
3,114,8196,16384,0.9999981303256045,0.23669895399871166,3,0,000 100 111
3,115,8196,16384,0.9999610054320824,0.23259545099972456,3,0,000 100 111
3,116,8196,16384,0.9999753473903324,0.2628123600006802,2,1,000 111
3,117,8196,16384,0.9999719662369648,0.2580947850001394,2,1,000 111
3,118,8196,16384,0.999983012953402,0.22935416800100938,3,0,000 100 111
3,119,8196,16384,0.9999900004371703,0.2299411340009101,2,1,000 111
3,120,8196,16384,0.9999792050264014,0.236070111999652,2,1,000 111
3,121,8196,16384,0.9999960545386256,0.22128387900011148,3,0,000 100 111
3,122,8196,16384,0.9999838228708875,0.2825996400006261,3,0,000 100 111
3,123,8196,16384,0.9999941825617419,0.25575141300032556,3,0,000 100 111
3,124,8196,16384,0.9999442067276288,0.23495671499949822,2,1,000 111
3,125,8196,16384,0.9999889939183316,0.23865832299998146,2,1,000 111
3,126,8196,16384,0.9999094523888468,0.24458040799981973,3,0,000 100 111
3,127,8196,16384,0.9999818781463822,0.23550655399958487,3,0,000 100 111
