n,run_idx,phase1_shots,phase2_shots,fidelity_pure,fidelity_density,elapsed_s,support_size,support_hit,support_indices
4,0,8196,16384,0.9330127018921934,0.8415682339307387,1.448595063000539,2,1,0000 1111
4,1,8196,16384,0.9999848713281407,0.9561344569408494,1.1061708060005913,3,0,0000 1000 1111
4,2,8196,16384,0.9329842552873193,0.8412247393025516,1.121062743000948,2,1,0000 1111
4,3,8196,16384,0.9330127018921874,0.8444577384141272,1.0964036980003584,2,1,0000 1111
4,4,8196,16384,0.9330127018922059,0.8438412056722979,1.1236628229999042,2,1,0000 1111
4,5,8196,16384,0.9330127018921764,0.8422019538422861,1.2440663519992086,2,1,0000 1111
4,6,8196,16384,0.9330127018921808,0.841329873117145,1.1910405110029387,3,0,0000 1000 1111
4,7,8196,16384,0.9999573086446613,0.9601653347136538,1.2151770740019856,2,1,0000 1111
4,8,8196,16384,0.9999115242307991,0.9649508404460155,1.2603104139998322,2,1,0000 1111
4,9,8196,16384,0.933012701892196,0.8369953530904861,1.241551802999311,2,1,0000 1111
4,10,8196,16384,0.9330127018921937,0.8438936155799805,1.2429573120025452,2,1,0000 1111
4,11,8196,16384,0.933012701892187,0.8382382624887033,1.2466554639977403,2,1,0000 1111
4,12,8196,16384,0.9996304956485059,0.9703788326546589,1.2198457610029436,3,0,0000 1000 1111
