n,run_idx,phase_bits,phase1_shots,phase2_shots,fidelity,elapsed_s,support_size,support_hit,support_indices
2,0,4,4096,8192,0.9999075736308412,2.784705300000496,4,0,00 01 10 11
2,1,4,4096,8192,0.9998991730215976,3.006942300009541,4,0,00 01 10 11
2,2,4,4096,8192,0.999896757501501,2.327977599998121,4,0,00 01 10 11
2,3,4,4096,8192,0.9998152314080274,2.283668400006718,4,0,00 01 10 11
2,4,4,4096,8192,0.9999383290629529,2.272876400005771,4,0,00 01 10 11
2,5,4,4096,8192,0.9999176323659075,2.2645792000112124,4,0,00 01 10 11
2,6,4,4096,8192,0.999845772597536,2.2590024000091944,4,0,00 01 10 11
2,7,4,4096,8192,0.9999880114377201,2.2274156999919796,4,0,00 01 10 11
2,8,4,4096,8192,0.9999231866673404,2.243037700012792,4,0,00 01 10 11
2,9,4,4096,8192,0.9999322482608116,2.243824200006202,4,0,00 01 10 11
2,10,4,4096,8192,0.9999424855175574,2.2205168999935267,4,0,00 01 10 11
2,11,4,4096,8192,0.9999627136580801,2.228605099997367,4,0,00 01 10 11
2,12,4,4096,8192,0.9999026533151373,2.280912200003513,4,0,00 01 10 11
2,13,4,4096,8192,0.9999258034855569,2.244259500002954,4,0,00 01 10 11
2,14,4,4096,8192,0.9999597306305019,2.22686490000342,4,0,00 01 10 11
2,15,4,4096,8192,0.9999688965358671,2.2590681000001496,4,0,00 01 10 11
2,16,4,4096,8192,0.9999349759299788,2.2968090000067605,4,0,00 01 10 11
2,17,4,4096,8192,0.9999386825682479,2.2513557000056608,4,0,00 01 10 11
2,18,4,4096,8192,0.9999785240701362,2.266566199992667,4,0,00 01 10 11
2,19,4,4096,8192,0.99995718999721,2.257926200007205,4,0,00 01 10 11
2,20,4,4096,8192,0.999961710058933,2.2162656000000425,4,0,00 01 10 11
2,21,4,4096,8192,0.9999845744071404,2.2468844999966677,4,0,00 01 10 11
2,22,4,4096,8192,0.9999100729339131,2.2248343999963254,4,0,00 01 10 11
2,23,4,4096,8192,0.999951396262488,2.2550642999995034,4,0,00 01 10 11
2,24,4,4096,8192,0.9999390363466569,2.233360199999879,4,0,00 01 10 11
2,25,4,4096,8192,0.9998928864908928,2.2068216999905417,4,0,00 01 10 11
2,26,4,4096,8192,0.9998978750541858,2.218931800001883,4,0,00 01 10 11
2,27,4,4096,8192,0.9999219814783407,2.2498159000097075,4,0,00 01 10 11
